Code,Name
U+1F469 U+1F3FD U+200D U+1F393,woman student: medium skin tone
U+1F469 U+1F3FE U+200D U+1F393,woman student: medium-dark skin tone
U+1F469 U+1F3FF U+200D U+1F393,woman student: dark skin tone
U+1F468 U+200D U+1F3EB,man teacher
U+1F468 U+1F3FB U+200D U+1F3EB,man teacher: light skin tone
U+1F468 U+1F3FC U+200D U+1F3EB,man teacher: medium-light skin tone
U+1F468 U+1F3FD U+200D U+1F3EB,man teacher: medium skin tone
U+1F468 U+1F3FE U+200D U+1F3EB,man teacher: medium-dark skin tone
U+1F468 U+1F3FF U+200D U+1F3EB,man teacher: dark skin tone
U+1F469 U+200D U+1F3EB,woman teacher
U+1F469 U+1F3FB U+200D U+1F3EB,woman teacher: light skin tone
U+1F469 U+1F3FC U+200D U+1F3EB,woman teacher: medium-light skin tone
U+1F469 U+1F3FD U+200D U+1F3EB,woman teacher: medium skin tone
U+1F469 U+1F3FE U+200D U+1F3EB,woman teacher: medium-dark skin tone
U+1F469 U+1F3FF U+200D U+1F3EB,woman teacher: dark skin tone
U+1F468 U+200D U+2696 U+FE0F,man judge
U+1F468 U+1F3FB U+200D U+2696 U+FE0F,man judge: light skin tone
U+1F468 U+1F3FC U+200D U+2696 U+FE0F,man judge: medium-light skin tone
U+1F468 U+1F3FD U+200D U+2696 U+FE0F,man judge: medium skin tone
U+1F468 U+1F3FE U+200D U+2696 U+FE0F,man judge: medium-dark skin tone
U+1F468 U+1F3FF U+200D U+2696 U+FE0F,man judge: dark skin tone
U+1F469 U+200D U+2696 U+FE0F,woman judge
U+1F469 U+1F3FB U+200D U+2696 U+FE0F,woman judge: light skin tone
U+1F469 U+1F3FC U+200D U+2696 U+FE0F,woman judge: medium-light skin tone
U+1F469 U+1F3FD U+200D U+2696 U+FE0F,woman judge: medium skin tone
U+1F469 U+1F3FE U+200D U+2696 U+FE0F,woman judge: medium-dark skin tone
U+1F469 U+1F3FF U+200D U+2696 U+FE0F,woman judge: dark skin tone
U+1F468 U+200D U+1F33E,man farmer
U+1F468 U+1F3FB U+200D U+1F33E,man farmer: light skin tone
U+1F468 U+1F3FC U+200D U+1F33E,man farmer: medium-light skin tone
U+1F468 U+1F3FD U+200D U+1F33E,man farmer: medium skin tone
U+1F468 U+1F3FE U+200D U+1F33E,man farmer: medium-dark skin tone
U+1F468 U+1F3FF U+200D U+1F33E,man farmer: dark skin tone
U+1F469 U+200D U+1F33E,woman farmer
U+1F469 U+1F3FB U+200D U+1F33E,woman farmer: light skin tone
U+1F469 U+1F3FC U+200D U+1F33E,woman farmer: medium-light skin tone
U+1F469 U+1F3FD U+200D U+1F33E,woman farmer: medium skin tone
U+1F469 U+1F3FE U+200D U+1F33E,woman farmer: medium-dark skin tone
U+1F469 U+1F3FF U+200D U+1F33E,woman farmer: dark skin tone
U+1F468 U+200D U+1F373,man cook
U+1F468 U+1F3FB U+200D U+1F373,man cook: light skin tone
U+1F468 U+1F3FC U+200D U+1F373,man cook: medium-light skin tone
U+1F468 U+1F3FD U+200D U+1F373,man cook: medium skin tone
U+1F468 U+1F3FE U+200D U+1F373,man cook: medium-dark skin tone
U+1F468 U+1F3FF U+200D U+1F373,man cook: dark skin tone
U+1F469 U+200D U+1F373,woman cook
U+1F469 U+1F3FB U+200D U+1F373,woman cook: light skin tone
U+1F469 U+1F3FC U+200D U+1F373,woman cook: medium-light skin tone
U+1F469 U+1F3FD U+200D U+1F373,woman cook: medium skin tone
U+1F469 U+1F3FE U+200D U+1F373,woman cook: medium-dark skin tone
U+1F469 U+1F3FF U+200D U+1F373,woman cook: dark skin tone
U+1F468 U+200D U+1F527,man mechanic
U+1F468 U+1F3FB U+200D U+1F527,man mechanic: light skin tone
U+1F468 U+1F3FC U+200D U+1F527,man mechanic: medium-light skin tone
U+1F468 U+1F3FD U+200D U+1F527,man mechanic: medium skin tone
U+1F468 U+1F3FE U+200D U+1F527,man mechanic: medium-dark skin tone
U+1F468 U+1F3FF U+200D U+1F527,man mechanic: dark skin tone
U+1F469 U+200D U+1F527,woman mechanic
U+1F469 U+1F3FB U+200D U+1F527,woman mechanic: light skin tone
U+1F469 U+1F3FC U+200D U+1F527,woman mechanic: medium-light skin tone
U+1F469 U+1F3FD U+200D U+1F527,woman mechanic: medium skin tone
U+1F469 U+1F3FE U+200D U+1F527,woman mechanic: medium-dark skin tone
U+1F469 U+1F3FF U+200D U+1F527,woman mechanic: dark skin tone
U+1F468 U+200D U+1F3ED,man factory worker
U+1F468 U+1F3FB U+200D U+1F3ED,man factory worker: light skin tone
U+1F468 U+1F3FC U+200D U+1F3ED,man factory worker: medium-light skin tone
U+1F468 U+1F3FD U+200D U+1F3ED,man factory worker: medium skin tone
U+1F468 U+1F3FE U+200D U+1F3ED,man factory worker: medium-dark skin tone
U+1F468 U+1F3FF U+200D U+1F3ED,man factory worker: dark skin tone
U+1F469 U+200D U+1F3ED,woman factory worker
U+1F469 U+1F3FB U+200D U+1F3ED,woman factory worker: light skin tone
U+1F469 U+1F3FC U+200D U+1F3ED,woman factory worker: medium-light skin tone
U+1F469 U+1F3FD U+200D U+1F3ED,woman factory worker: medium skin tone
U+1F469 U+1F3FE U+200D U+1F3ED,woman factory worker: medium-dark skin tone
U+1F469 U+1F3FF U+200D U+1F3ED,woman factory worker: dark skin tone
U+1F468 U+200D U+1F4BC,man office worker
U+1F468 U+1F3FB U+200D U+1F4BC,man office worker: light skin tone
U+1F468 U+1F3FC U+200D U+1F4BC,man office worker: medium-light skin tone
U+1F468 U+1F3FD U+200D U+1F4BC,man office worker: medium skin tone
U+1F468 U+1F3FE U+200D U+1F4BC,man office worker: medium-dark skin tone
U+1F468 U+1F3FF U+200D U+1F4BC,man office worker: dark skin tone
U+1F469 U+200D U+1F4BC,woman office worker
U+1F469 U+1F3FB U+200D U+1F4BC,woman office worker: light skin tone
U+1F469 U+1F3FC U+200D U+1F4BC,woman office worker: medium-light skin tone
U+1F469 U+1F3FD U+200D U+1F4BC,woman office worker: medium skin tone
U+1F469 U+1F3FE U+200D U+1F4BC,woman office worker: medium-dark skin tone
U+1F469 U+1F3FF U+200D U+1F4BC,woman office worker: dark skin tone
U+1F468 U+200D U+1F52C,man scientist
U+1F468 U+1F3FB U+200D U+1F52C,man scientist: light skin tone
U+1F468 U+1F3FC U+200D U+1F52C,man scientist: medium-light skin tone
U+1F468 U+1F3FD U+200D U+1F52C,man scientist: medium skin tone
U+1F468 U+1F3FE U+200D U+1F52C,man scientist: medium-dark skin tone
U+1F468 U+1F3FF U+200D U+1F52C,man scientist: dark skin tone
U+1F469 U+200D U+1F52C,woman scientist
U+1F469 U+1F3FB U+200D U+1F52C,woman scientist: light skin tone
U+1F469 U+1F3FC U+200D U+1F52C,woman scientist: medium-light skin tone
U+1F469 U+1F3FD U+200D U+1F52C,woman scientist: medium skin tone
U+1F469 U+1F3FE U+200D U+1F52C,woman scientist: medium-dark skin tone
U+1F469 U+1F3FF U+200D U+1F52C,woman scientist: dark skin tone
U+1F468 U+200D U+1F4BB,man technologist
U+1F468 U+1F3FB U+200D U+1F4BB,man technologist: light skin tone
U+1F468 U+1F3FC U+200D U+1F4BB,man technologist: medium-light skin tone
U+1F468 U+1F3FD U+200D U+1F4BB,man technologist: medium skin tone
U+1F468 U+1F3FE U+200D U+1F4BB,man technologist: medium-dark skin tone
U+1F468 U+1F3FF U+200D U+1F4BB,man technologist: dark skin tone
U+1F469 U+200D U+1F4BB,woman technologist
U+1F469 U+1F3FB U+200D U+1F4BB,woman technologist: light skin tone
U+1F469 U+1F3FC U+200D U+1F4BB,woman technologist: medium-light skin tone
U+1F469 U+1F3FD U+200D U+1F4BB,woman technologist: medium skin tone
U+1F469 U+1F3FE U+200D U+1F4BB,woman technologist: medium-dark skin tone
U+1F469 U+1F3FF U+200D U+1F4BB,woman technologist: dark skin tone
U+1F468 U+200D U+1F3A4,man singer
U+1F468 U+1F3FB U+200D U+1F3A4,man singer: light skin tone
U+1F468 U+1F3FC U+200D U+1F3A4,man singer: medium-light skin tone
U+1F468 U+1F3FD U+200D U+1F3A4,man singer: medium skin tone
U+1F468 U+1F3FE U+200D U+1F3A4,man singer: medium-dark skin tone
U+1F468 U+1F3FF U+200D U+1F3A4,man singer: dark skin tone
U+1F469 U+200D U+1F3A4,woman singer
U+1F469 U+1F3FB U+200D U+1F3A4,woman singer: light skin tone
U+1F469 U+1F3FC U+200D U+1F3A4,woman singer: medium-light skin tone
U+1F469 U+1F3FD U+200D U+1F3A4,woman singer: medium skin tone
U+1F469 U+1F3FE U+200D U+1F3A4,woman singer: medium-dark skin tone
U+1F469 U+1F3FF U+200D U+1F3A4,woman singer: dark skin tone
U+1F468 U+200D U+1F3A8,man artist
U+1F468 U+1F3FB U+200D U+1F3A8,man artist: light skin tone
U+1F468 U+1F3FC U+200D U+1F3A8,man artist: medium-light skin tone
U+1F468 U+1F3FD U+200D U+1F3A8,man artist: medium skin tone
U+1F468 U+1F3FE U+200D U+1F3A8,man artist: medium-dark skin tone
U+1F468 U+1F3FF U+200D U+1F3A8,man artist: dark skin tone
U+1F469 U+200D U+1F3A8,woman artist
U+1F469 U+1F3FB U+200D U+1F3A8,woman artist: light skin tone
U+1F469 U+1F3FC U+200D U+1F3A8,woman artist: medium-light skin tone
U+1F469 U+1F3FD U+200D U+1F3A8,woman artist: medium skin tone
U+1F469 U+1F3FE U+200D U+1F3A8,woman artist: medium-dark skin tone
U+1F469 U+1F3FF U+200D U+1F3A8,woman artist: dark skin tone
U+1F468 U+200D U+2708 U+FE0F,man pilot
U+1F468 U+1F3FB U+200D U+2708 U+FE0F,man pilot: light skin tone
U+1F468 U+1F3FC U+200D U+2708 U+FE0F,man pilot: medium-light skin tone
U+1F468 U+1F3FD U+200D U+2708 U+FE0F,man pilot: medium skin tone
U+1F468 U+1F3FE U+200D U+2708 U+FE0F,man pilot: medium-dark skin tone
U+1F468 U+1F3FF U+200D U+2708 U+FE0F,man pilot: dark skin tone
U+1F469 U+200D U+2708 U+FE0F,woman pilot
U+1F469 U+1F3FB U+200D U+2708 U+FE0F,woman pilot: light skin tone
U+1F469 U+1F3FC U+200D U+2708 U+FE0F,woman pilot: medium-light skin tone
U+1F469 U+1F3FD U+200D U+2708 U+FE0F,woman pilot: medium skin tone
U+1F469 U+1F3FE U+200D U+2708 U+FE0F,woman pilot: medium-dark skin tone
U+1F469 U+1F3FF U+200D U+2708 U+FE0F,woman pilot: dark skin tone
U+1F468 U+200D U+1F680,man astronaut
U+1F468 U+1F3FB U+200D U+1F680,man astronaut: light skin tone
U+1F468 U+1F3FC U+200D U+1F680,man astronaut: medium-light skin tone
U+1F468 U+1F3FD U+200D U+1F680,man astronaut: medium skin tone
U+1F468 U+1F3FE U+200D U+1F680,man astronaut: medium-dark skin tone
U+1F468 U+1F3FF U+200D U+1F680,man astronaut: dark skin tone
U+1F469 U+200D U+1F680,woman astronaut
U+1F469 U+1F3FB U+200D U+1F680,woman astronaut: light skin tone
U+1F469 U+1F3FC U+200D U+1F680,woman astronaut: medium-light skin tone
U+1F469 U+1F3FD U+200D U+1F680,woman astronaut: medium skin tone
U+1F469 U+1F3FE U+200D U+1F680,woman astronaut: medium-dark skin tone
U+1F469 U+1F3FF U+200D U+1F680,woman astronaut: dark skin tone
U+1F468 U+200D U+1F692,man firefighter
U+1F468 U+1F3FB U+200D U+1F692,man firefighter: light skin tone
U+1F468 U+1F3FC U+200D U+1F692,man firefighter: medium-light skin tone
U+1F468 U+1F3FD U+200D U+1F692,man firefighter: medium skin tone
U+1F468 U+1F3FE U+200D U+1F692,man firefighter: medium-dark skin tone
U+1F468 U+1F3FF U+200D U+1F692,man firefighter: dark skin tone
U+1F469 U+200D U+1F692,woman firefighter
U+1F469 U+1F3FB U+200D U+1F692,woman firefighter: light skin tone
U+1F469 U+1F3FC U+200D U+1F692,woman firefighter: medium-light skin tone
U+1F469 U+1F3FD U+200D U+1F692,woman firefighter: medium skin tone
U+1F469 U+1F3FE U+200D U+1F692,woman firefighter: medium-dark skin tone
U+1F469 U+1F3FF U+200D U+1F692,woman firefighter: dark skin tone
U+1F46E,police officer
U+1F46E U+1F3FB,police officer: light skin tone
U+1F46E U+1F3FC,police officer: medium-light skin tone
U+1F46E U+1F3FD,police officer: medium skin tone
U+1F46E U+1F3FE,police officer: medium-dark skin tone
U+1F46E U+1F3FF,police officer: dark skin tone
U+1F46E U+200D U+2642 U+FE0F,man police officer
U+1F46E U+1F3FB U+200D U+2642 U+FE0F,man police officer: light skin tone
U+1F46E U+1F3FC U+200D U+2642 U+FE0F,man police officer: medium-light skin tone
U+1F46E U+1F3FD U+200D U+2642 U+FE0F,man police officer: medium skin tone
U+1F46E U+1F3FE U+200D U+2642 U+FE0F,man police officer: medium-dark skin tone
U+1F46E U+1F3FF U+200D U+2642 U+FE0F,man police officer: dark skin tone
U+1F46E U+200D U+2640 U+FE0F,woman police officer
U+1F46E U+1F3FB U+200D U+2640 U+FE0F,woman police officer: light skin tone
U+1F46E U+1F3FC U+200D U+2640 U+FE0F,woman police officer: medium-light skin tone
U+1F46E U+1F3FD U+200D U+2640 U+FE0F,woman police officer: medium skin tone
U+1F46E U+1F3FE U+200D U+2640 U+FE0F,woman police officer: medium-dark skin tone
U+1F46E U+1F3FF U+200D U+2640 U+FE0F,woman police officer: dark skin tone
U+1F575,detective
U+1F575 U+1F3FB,detective: light skin tone
U+1F575 U+1F3FC,detective: medium-light skin tone
U+1F575 U+1F3FD,detective: medium skin tone
U+1F575 U+1F3FE,detective: medium-dark skin tone
U+1F575 U+1F3FF,detective: dark skin tone
U+1F575 U+FE0F U+200D U+2642 U+FE0F,man detective
U+1F575 U+1F3FB U+200D U+2642 U+FE0F,man detective: light skin tone
U+1F575 U+1F3FC U+200D U+2642 U+FE0F,man detective: medium-light skin tone
U+1F575 U+1F3FD U+200D U+2642 U+FE0F,man detective: medium skin tone
U+1F575 U+1F3FE U+200D U+2642 U+FE0F,man detective: medium-dark skin tone
U+1F575 U+1F3FF U+200D U+2642 U+FE0F,man detective: dark skin tone
U+1F575 U+FE0F U+200D U+2640 U+FE0F,woman detective
U+1F575 U+1F3FB U+200D U+2640 U+FE0F,woman detective: light skin tone
U+1F575 U+1F3FC U+200D U+2640 U+FE0F,woman detective: medium-light skin tone
U+1F575 U+1F3FD U+200D U+2640 U+FE0F,woman detective: medium skin tone
U+1F575 U+1F3FE U+200D U+2640 U+FE0F,woman detective: medium-dark skin tone
U+1F575 U+1F3FF U+200D U+2640 U+FE0F,woman detective: dark skin tone
U+1F482,guard
U+1F482 U+1F3FB,guard: light skin tone
U+1F482 U+1F3FC,guard: medium-light skin tone
U+1F482 U+1F3FD,guard: medium skin tone
U+1F482 U+1F3FE,guard: medium-dark skin tone
U+1F482 U+1F3FF,guard: dark skin tone
U+1F482 U+200D U+2642 U+FE0F,man guard
U+1F482 U+1F3FB U+200D U+2642 U+FE0F,man guard: light skin tone
U+1F482 U+1F3FC U+200D U+2642 U+FE0F,man guard: medium-light skin tone
U+1F482 U+1F3FD U+200D U+2642 U+FE0F,man guard: medium skin tone
U+1F482 U+1F3FE U+200D U+2642 U+FE0F,man guard: medium-dark skin tone
U+1F482 U+1F3FF U+200D U+2642 U+FE0F,man guard: dark skin tone
U+1F482 U+200D U+2640 U+FE0F,woman guard
U+1F482 U+1F3FB U+200D U+2640 U+FE0F,woman guard: light skin tone
U+1F482 U+1F3FC U+200D U+2640 U+FE0F,woman guard: medium-light skin tone
U+1F482 U+1F3FD U+200D U+2640 U+FE0F,woman guard: medium skin tone
U+1F482 U+1F3FE U+200D U+2640 U+FE0F,woman guard: medium-dark skin tone
U+1F482 U+1F3FF U+200D U+2640 U+FE0F,woman guard: dark skin tone
U+1F477,construction worker
U+1F477 U+1F3FB,construction worker: light skin tone
U+1F477 U+1F3FC,construction worker: medium-light skin tone
U+1F477 U+1F3FD,construction worker: medium skin tone
U+1F477 U+1F3FE,construction worker: medium-dark skin tone
U+1F477 U+1F3FF,construction worker: dark skin tone
U+1F477 U+200D U+2642 U+FE0F,man construction worker
U+1F477 U+1F3FB U+200D U+2642 U+FE0F,man construction worker: light skin tone
U+1F477 U+1F3FC U+200D U+2642 U+FE0F,man construction worker: medium-light skin tone
U+1F477 U+1F3FD U+200D U+2642 U+FE0F,man construction worker: medium skin tone
U+1F477 U+1F3FE U+200D U+2642 U+FE0F,man construction worker: medium-dark skin tone
U+1F477 U+1F3FF U+200D U+2642 U+FE0F,man construction worker: dark skin tone
U+1F477 U+200D U+2640 U+FE0F,woman construction worker
U+1F477 U+1F3FB U+200D U+2640 U+FE0F,woman construction worker: light skin tone
U+1F477 U+1F3FC U+200D U+2640 U+FE0F,woman construction worker: medium-light skin tone
U+1F477 U+1F3FD U+200D U+2640 U+FE0F,woman construction worker: medium skin tone
U+1F477 U+1F3FE U+200D U+2640 U+FE0F,woman construction worker: medium-dark skin tone
U+1F477 U+1F3FF U+200D U+2640 U+FE0F,woman construction worker: dark skin tone
U+1F473,person wearing turban
U+1F473 U+1F3FB,person wearing turban: light skin tone
U+1F473 U+1F3FC,person wearing turban: medium-light skin tone
U+1F473 U+1F3FD,person wearing turban: medium skin tone
U+1F473 U+1F3FE,person wearing turban: medium-dark skin tone
U+1F473 U+1F3FF,person wearing turban: dark skin tone
U+1F473 U+200D U+2642 U+FE0F,man wearing turban
U+1F473 U+1F3FB U+200D U+2642 U+FE0F,man wearing turban: light skin tone
U+1F473 U+1F3FC U+200D U+2642 U+FE0F,man wearing turban: medium-light skin tone
U+1F473 U+1F3FD U+200D U+2642 U+FE0F,man wearing turban: medium skin tone
U+1F473 U+1F3FE U+200D U+2642 U+FE0F,man wearing turban: medium-dark skin tone
U+1F473 U+1F3FF U+200D U+2642 U+FE0F,man wearing turban: dark skin tone
U+1F473 U+200D U+2640 U+FE0F,woman wearing turban
U+1F473 U+1F3FB U+200D U+2640 U+FE0F,woman wearing turban: light skin tone
U+1F473 U+1F3FC U+200D U+2640 U+FE0F,woman wearing turban: medium-light skin tone
U+1F473 U+1F3FD U+200D U+2640 U+FE0F,woman wearing turban: medium skin tone
U+1F473 U+1F3FE U+200D U+2640 U+FE0F,woman wearing turban: medium-dark skin tone
U+1F473 U+1F3FF U+200D U+2640 U+FE0F,woman wearing turban: dark skin tone
U+1F471,blond-haired person
U+1F471 U+1F3FB,blond-haired person: light skin tone
U+1F471 U+1F3FC,blond-haired person: medium-light skin tone
U+1F471 U+1F3FD,blond-haired person: medium skin tone
U+1F471 U+1F3FE,blond-haired person: medium-dark skin tone
U+1F471 U+1F3FF,blond-haired person: dark skin tone
U+1F471 U+200D U+2642 U+FE0F,blond-haired man
U+1F471 U+1F3FB U+200D U+2642 U+FE0F,blond-haired man: light skin tone
U+1F471 U+1F3FC U+200D U+2642 U+FE0F,blond-haired man: medium-light skin tone
U+1F471 U+1F3FD U+200D U+2642 U+FE0F,blond-haired man: medium skin tone
U+1F471 U+1F3FE U+200D U+2642 U+FE0F,blond-haired man: medium-dark skin tone
U+1F471 U+1F3FF U+200D U+2642 U+FE0F,blond-haired man: dark skin tone
U+1F471 U+200D U+2640 U+FE0F,blond-haired woman
U+1F471 U+1F3FB U+200D U+2640 U+FE0F,blond-haired woman: light skin tone
U+1F471 U+1F3FC U+200D U+2640 U+FE0F,blond-haired woman: medium-light skin tone
U+1F471 U+1F3FD U+200D U+2640 U+FE0F,blond-haired woman: medium skin tone
U+1F471 U+1F3FE U+200D U+2640 U+FE0F,blond-haired woman: medium-dark skin tone
U+1F471 U+1F3FF U+200D U+2640 U+FE0F,blond-haired woman: dark skin tone
U+1F385,Santa Claus
U+1F385 U+1F3FB,Santa Claus: light skin tone
U+1F385 U+1F3FC,Santa Claus: medium-light skin tone
U+1F385 U+1F3FD,Santa Claus: medium skin tone
U+1F385 U+1F3FE,Santa Claus: medium-dark skin tone
U+1F385 U+1F3FF,Santa Claus: dark skin tone
U+1F936,Mrs. Claus
U+1F936 U+1F3FB,Mrs. Claus: light skin tone
U+1F936 U+1F3FC,Mrs. Claus: medium-light skin tone
U+1F936 U+1F3FD,Mrs. Claus: medium skin tone
U+1F936 U+1F3FE,Mrs. Claus: medium-dark skin tone
U+1F936 U+1F3FF,Mrs. Claus: dark skin tone
U+1F478,princess
U+1F478 U+1F3FB,princess: light skin tone
U+1F478 U+1F3FC,princess: medium-light skin tone
U+1F478 U+1F3FD,princess: medium skin tone
U+1F478 U+1F3FE,princess: medium-dark skin tone
U+1F478 U+1F3FF,princess: dark skin tone
U+1F934,prince
U+1F934 U+1F3FB,prince: light skin tone
U+1F934 U+1F3FC,prince: medium-light skin tone
U+1F934 U+1F3FD,prince: medium skin tone
U+1F934 U+1F3FE,prince: medium-dark skin tone
U+1F934 U+1F3FF,prince: dark skin tone
U+1F470,bride with veil
U+1F470 U+1F3FB,bride with veil: light skin tone
U+1F470 U+1F3FC,bride with veil: medium-light skin tone
U+1F470 U+1F3FD,bride with veil: medium skin tone
U+1F470 U+1F3FE,bride with veil: medium-dark skin tone
U+1F470 U+1F3FF,bride with veil: dark skin tone
U+1F935,man in tuxedo
U+1F935 U+1F3FB,man in tuxedo: light skin tone
U+1F935 U+1F3FC,man in tuxedo: medium-light skin tone
U+1F935 U+1F3FD,man in tuxedo: medium skin tone
U+1F935 U+1F3FE,man in tuxedo: medium-dark skin tone
U+1F935 U+1F3FF,man in tuxedo: dark skin tone
